skill_id,district_id,sector,period,current_demand_count,anticipated_demand_count,demand_score,strength_tier,sample_size,recent_growth,source
SKILL_0400,Mumbai City,IT/Software - IT Infrastructure & Networks,2025-09,4,0,0.058,MEDIUM,69,,naukri:indian-job-market-dataset-2025
SKILL_0431,Mumbai City,IT/Software - IT Infrastructure & Networks,2025-09,4,0,0.058,MEDIUM,69,,naukri:indian-job-market-dataset-2025
SKILL_0436,Mumbai City,IT/Software - IT Infrastructure & Networks,2025-09,4,0,0.058,MEDIUM,69,,naukri:indian-job-market-dataset-2025
SKILL_0315,Mumbai City,IT/Software - IT Infrastructure & Networks,2025-09,3,0,0.0435,MEDIUM,69,,naukri:indian-job-market-dataset-2025
SKILL_0317,Mumbai City,IT/Software - IT Infrastructure & Networks,2025-09,3,0,0.0435,MEDIUM,69,,naukri:indian-job-market-dataset-2025
SKILL_0397,Mumbai City,IT/Software - IT Infrastructure & Networks,2025-09,3,0,0.0435,MEDIUM,69,,naukri:indian-job-market-dataset-2025
SKILL_0430,Mumbai City,IT/Software - IT Infrastructure & Networks,2025-09,3,0,0.0435,MEDIUM,69,,naukri:indian-job-market-dataset-2025
SKILL_0031,Mumbai City,IT/Software - IT Infrastructure & Networks,2025-09,2,0,0.029,MEDIUM,69,,naukri:indian-job-market-dataset-2025
SKILL_0134,Mumbai City,IT/Software - IT Infrastructure & Networks,2025-09,2,0,0.029,MEDIUM,69,,naukri:indian-job-market-dataset-2025
SKILL_0269,Mumbai City,IT/Software - IT Infrastructure & Networks,2025-09,2,0,0.029,MEDIUM,69,,naukri:indian-job-market-dataset-2025
SKILL_0279,Mumbai City,IT/Software - IT Infrastructure & Networks,2025-09,2,0,0.029,MEDIUM,69,,naukri:indian-job-market-dataset-2025
SKILL_0320,Mumbai City,IT/Software - IT Infrastructure & Networks,2025-09,2,0,0.029,MEDIUM,69,,naukri:indian-job-market-dataset-2025
SKILL_0532,Mumbai City,IT/Software - IT Infrastructure & Networks,2025-09,2,0,0.029,MEDIUM,69,,naukri:indian-job-market-dataset-2025
SKILL_0564,Mumbai City,IT/Software - IT Infrastructure & Networks,2025-09,2,0,0.029,MEDIUM,69,,naukri:indian-job-market-dataset-2025
SKILL_0028,Mumbai City,IT/Software - IT Infrastructure & Networks,2025-09,1,0,0.0145,MEDIUM,69,,naukri:indian-job-market-dataset-2025
SKILL_0091,Mumbai City,IT/Software - IT Infrastructure & Networks,2025-09,1,0,0.0145,MEDIUM,69,,naukri:indian-job-market-dataset-2025
SKILL_0111,Mumbai City,IT/Software - IT Infrastructure & Networks,2025-09,1,0,0.0145,MEDIUM,69,,naukri:indian-job-market-dataset-2025
SKILL_0114,Mumbai City,IT/Software - IT Infrastructure & Networks,2025-09,1,0,0.0145,MEDIUM,69,,naukri:indian-job-market-dataset-2025
SKILL_0128,Mumbai City,IT/Software - IT Infrastructure & Networks,2025-09,1,0,0.0145,MEDIUM,69,,naukri:indian-job-market-dataset-2025
SKILL_0144,Mumbai City,IT/Software - IT Infrastructure & Networks,2025-09,1,0,0.0145,MEDIUM,69,,naukri:indian-job-market-dataset-2025
SKILL_0153,Mumbai City,IT/Software - IT Infrastructure & Networks,2025-09,1,0,0.0145,MEDIUM,69,,naukri:indian-job-market-dataset-2025
